"Property/Plant ID","Building Name",Address1,Address2,City,State,Zip,"Building Owner","Property Manager","Gross Floor Area","Number of Years Certified","Certification Years",Score(s),"Property Type","Year constructed","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
4013991,"	RHODE ISLAND ROW","2300 Washington Place NE",,Washington,DC,20018,Bozzuto,,401517,4," 2016, 2017 , 2020 , 2022","95, 97 , 93 , 87","Multifamily Housing",2012,38.920425,-76.995442,1,rooftop,"2300 Washington Pl NE",,"Washington, DC 20018",2300,"Washington Pl NE",,,Washington,DC,"District of Columbia",20018,US,"Statewide (City of Washington)"
4019461,"	RESIDENCES ON THE AVENUE","2221 I Street NW",,Washington,DC,20037,"Square 54 Residential Owner, LLC","Bozzuto Management Company",396876,1," 2016",92,"Multifamily Housing",2000,38.900982,-77.049623,1,rooftop,"2221 I St NW",,"Washington, DC 20037",2221,"I St NW",,,Washington,DC,"District of Columbia",20037,US,"Statewide (City of Washington)"
4037665,"	55 M STREET","55 M Street SE, Suite 100",,Washington,DC,20003,"Hines GS Properties","Hines GS Properties",256719,3," 2014, 2015 , 2017","90, 95 , 94",Office,2008,38.876264,-77.006992,1,rooftop,"55 M St SE","Ste 100","Washington, DC 20003",55,"M St SE",Ste,100,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
4051768,"	440 FIRST ST NW","440 First Street NW",,Washington,DC,20001,"Government Properties Income Trust","The RMR Group LLC",138709,2," 2017, 2018","100, 77",Office,2013,38.895455,-77.012477,1,rooftop,"440 1st St NW",,"Washington, DC 20001",440,"1st St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
4067117,"	1700 NEW YORK AVENUE","1700 New York Avenue, NW",,Washington,DC,20006,"Carr Properties",,134210,7," 2017, 2018 , 2020 , 2021 , 2022 , 2023 , 2024","76, 76 , 76 , 87 , 84 , 87 , 87",Office,2013,38.896026,-77.040348,1,rooftop,"1700 New York Ave NW",,"Washington, DC 20006",1700,"New York Ave NW",,,Washington,DC,"District of Columbia",20006,US,"Statewide (City of Washington)"
4096712,"	1620 L STREET","1620 L Street NW",,Washington,DC,20036,DivcoWest,"Cushman && Wakefield",182852,3," 2022, 2023 , 2024","77, 77 , 75",Office,1989,38.90341,-77.037586,1,rooftop,"1620 L St NW",,"Washington, DC 20036",1620,"L St NW",,,Washington,DC,"District of Columbia",20036,US,"Statewide (City of Washington)"
4129771,"	1015 15TH STREET/BLACKROCK","1015 15th Street, NW",,Washington,DC,20005,"1015 15th Street, Inc.",,198868,8," 2012, 2015 , 2016 , 2017 , 2019 , 2021 , 2022 , 2023","77, 75 , 81 , 85 , 75 , 81 , 77 , 80",Office,1979,38.903005,-77.034252,1,rooftop,"1015 15th St NW",,"Washington, DC 20005",1015,"15th St NW",,,Washington,DC,"District of Columbia",20005,US,"Statewide (City of Washington)"
4156464,"	MIDATLANTIC - DC: AVALON THE ALBEMARLE","4501 Connecticut Avenue Northwest",,Washington,DC,20008,"AvalonBay Communities, Inc",,365946,1," 2014",86,"Multifamily Housing",1966,38.948511,-77.06519,1,rooftop,"4501 Connecticut Ave NW",,"Washington, DC 20008",4501,"Connecticut Ave NW",,,Washington,DC,"District of Columbia",20008,US,"Statewide (City of Washington)"
4156466,"	MIDATLANTIC - DC: THE STATESMAN","2020 F Street Northwest",,Washington,DC,20006,"AvalonBay Communities, Inc",,260157,1," 2014",77,"Multifamily Housing",1961,38.897002,-77.045801,1,rooftop,"2020 F St NW",,"Washington, DC 20006",2020,"F St NW",,,Washington,DC,"District of Columbia",20006,US,"Statewide (City of Washington)"
4162444,"	655 K STREET - AAMC","655 K Street, NW",,Washington,DC,20001,"Association of American Medical Colleges","Lincoln Property Company - AAMC",299905,4," 2016, 2018 , 2019 , 2020","80, 84 , 75 , 82",Office,2014,38.902811,-77.020782,1,rooftop,"655 K St NW",,"Washington, DC 20001",655,"K St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
4218479,"	BARCLAY II","1616 16th Street NW",,Washington,DC,20009,"JP Morgan Chase","Van Metre Companies",59420,1," 2020",98,"Multifamily Housing",1932,38.911736,-77.036955,1,rooftop,"1616 16th St NW",,"Washington, DC 20009",1616,"16th St NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
4223136,"	77H (7H01) (HR96)","77 H Street NW",,Washington,DC,20001,"CV 77 H Street LLC",,370198,2," 2016, 2023","78, 96","Multifamily Housing",2013,38.900416,-77.011153,1,rooftop,"77 H St NW",,"Washington, DC 20001",77,"H St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
4307021,"	2001 PENNSYLVANIA AVENUE","2001 Pennsylvania Avenue NW",,Washington,DC,20006,"The George Washington University","Carr Properties",170822,5," 2018, 2020 , 2021 , 2022 , 2024","75, 76 , 76 , 75 , 78",Office,1990,38.901681,-77.045334,1,rooftop,"2001 Pennsylvania Ave NW",,"Washington, DC 20006",2001,"Pennsylvania Ave NW",,,Washington,DC,"District of Columbia",20006,US,"Statewide (City of Washington)"
4317010,"	127810 - THE SWIFT AT PETWORTH METRO","3828 Georgia Ave NW",,Washington,DC,20011,"Principal Real Estate Investors","Polinger Company",209572,1," 2019",78,"Multifamily Housing",2014,38.938193,-77.024829,1,rooftop,"3828 Georgia Ave NW",,"Washington, DC 20011",3828,"Georgia Ave NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
4317950,"	280111 - 2401 PENN AVE.","2401 Pennsylvania Avenue NW",,Washington,DC,20037,"Principal Real Estate Investor","Polinger Company",145060,3," 2016, 2017 , 2018","76, 79 , 78","Mixed Use Property",1991,38.903488,-77.051852,1,rooftop,"2401 Pennsylvania Ave NW",,"Washington, DC 20037",2401,"Pennsylvania Ave NW",,,Washington,DC,"District of Columbia",20037,US,"Statewide (City of Washington)"
4327667,"	1775 EYE STREET (YS10)","1775 Eye Street NW",,Washington,DC,20006,"Brookfield Properties",CBRE,198893,13," 2010, 2012 , 2013 , 2015 , 2016 , 2017 , 2018 , 2019 , 2020 , 2021 , 2023 , 2024 , 2025","75, 80 , 83 , 78 , 78 , 83 , 84 , 78 , 79 , 79 , 85 , 80 , 83",Office,1964,38.907092,-77.039803,0.9,range_interpolation,"1775 N St NW",,"Washington, DC 20036",1775,"N St NW",,,Washington,DC,"District of Columbia",20036,US,"TIGER/Line® from the US Census Bureau"
4369395,"	THE FOUNDRY BUILDING","1055 Thomas Jefferson Street, NW",,Washington,DC,20007,"JP Morgan Chase Bank, N.A.","Ma Repleo Holding Corp. c/o Transwestern",244850,14," 2009, 2010 , 2012 , 2013 , 2015 , 2016 , 2017 , 2018 , 2019 , 2020 , 2021 , 2022 , 2024 , 2025","75, 79 , 81 , 81 , 76 , 83 , 87 , 86 , 76 , 81 , 84 , 80 , 82 , 84",Office,1976,38.903769,-77.059764,1,rooftop,"1055 Thomas Jefferson St NW",,"Washington, DC 20007",1055,"Thomas Jefferson St NW",,,Washington,DC,"District of Columbia",20007,US,"Statewide (City of Washington)"
4378204,"	AMERICAN PHARMACISTS ASSOCIATION","2215 Constitution Avenue, NW",,Washington,DC,20037,"2200 C Street LLC","Donohoe Real Estate Services",275298,1," 2018",84,Office,2009,38.892832,-77.049476,1,rooftop,"2215 Constitution Ave NW",,"Washington, DC 20037",2215,"Constitution Ave NW",,,Washington,DC,"District of Columbia",20037,US,"Statewide (City of Washington)"
4378477,"	3801 CONNECTICUT AVE (CQ31)","3801 Connecticut Avenue, NW",,Washington,DC,20008,"Elme Communities",,210625,4," 2016, 2022 , 2023 , 2024","75, 77 , 85 , 88","Multifamily Housing",1951,38.939361,-77.060077,1,rooftop,"3801 Connecticut Ave NW",,"Washington, DC 20008",3801,"Connecticut Ave NW",,,Washington,DC,"District of Columbia",20008,US,"Statewide (City of Washington)"
4378482,"	7TH FLATS","1825 7th Street NW         ",,Washington,DC,20001,"Broadcast Residential Partnership, LLC","Bozzuto Management Company",215960,3," 2015, 2016 , 2017","96, 96 , 96","Multifamily Housing",2013,38.914938,-77.021705,1,rooftop,"1825 7th St NW",,"Washington, DC 20001",1825,"7th St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
4379094,"	2440 M STREET","2440 M St N.W.",,Washington,DC,20037,"HSRE-CAPMED DC, LLC, c/o Avison Young Washington DC, LLC",,116383,1," 2023",89,"Medical Office",1986,38.905074,-77.052679,1,rooftop,"2440 M St NW",,"Washington, DC 20037",2440,"M St NW",,,Washington,DC,"District of Columbia",20037,US,"Statewide (City of Washington)"
4379381,"	THE KENMORE (KM17)","5415 Connecticut Avenue",,Washington,DC,20015,"Elme Communities",,380900,4," 2021, 2022 , 2023 , 2024","86, 84 , 87 , 92","Multifamily Housing",1948,38.961719,-77.07324,1,rooftop,"5415 Connecticut Ave NW",,"Washington, DC 20015",5415,"Connecticut Ave NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
4380591,"	MONROE STREET MARKET - PORTLAND FLATS","655 Michigan Avenue, NE",,Washington,DC,20017,"Monroe Street Block B Residential, LLC","Bozzuto Management Company",99365,3," 2016, 2017 , 2018","90, 90 , 93","Multifamily Housing",2013,38.932646,-76.996749,1,rooftop,"655 Michigan Ave NE",,"Washington, DC 20017",655,"Michigan Ave NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
4380598,"	MONROE STREET MARKET - BROOKLAND WORKS","716 Monroe Street NE",,Washington,DC,20017,"Monroe Street Block B Residential, LLC","Bozzuto Management Company",169380,4," 2018, 2019 , 2020 , 2021","86, 95 , 92 , 94","Multifamily Housing",2013,38.932866,-76.995161,1,rooftop,"716 Monroe St NE",,"Washington, DC 20017",716,"Monroe St NE",,,Washington,DC,"District of Columbia",20017,US,"Statewide (City of Washington)"
4380886,"	11 DUPONT CIRCLE - OPI","11 Dupont Circle NW",,Washington,DC,20036,"Office Properties Income Trust","The RMR Group",160898,6," 2009, 2010 , 2011 , 2017 , 2022 , 2023","79, 80 , 86 , 77 , 80 , 80",Office,1973,38.910108,-77.042583,1,rooftop,"11 Dupont Cir NW",,"Washington, DC 20036",11,"Dupont Cir NW",,,Washington,DC,"District of Columbia",20036,US,"Statewide (City of Washington)"
4390334,"	900 G","900 G Street, NW",,"District of Columbia",DC,20001,"Stream Realty Partners-DC, LP",,158093,2," 2021, 2022","75, 76",Office,2014,38.898107,-77.024437,1,rooftop,"900 G St NW",,"Washington, DC 20001",900,"G St NW",,,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
4390599,"	THE METROPOLITAN APARTMENTS","200 Rhode Island Ave., NE",,Washington,DC,20002,"MT Investments LLC C/O Dreyfuss",,130989,1," 2017",99,"Multifamily Housing",1936,38.919185,-77.003276,1,rooftop,"200 Rhode Island Ave NE",,"Washington, DC 20002",200,"Rhode Island Ave NE",,,Washington,DC,"District of Columbia",20002,US,"Statewide (City of Washington)"
