GISJOIN,GEOID,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,BLOCKA,SCSAA,SEA,CBD,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C7M001,C7M002,C7M003,C7N001,C75001,C8Y001,C8Z001,C8Z002,C8Z003,C9A001,C9B001,C9B002,C9C001,C9C002,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C9F001,C9G001,C9G002,C9G003,C9G004,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026,C68001,C68002,C68003,C68004,C68005,C68006,C68007,C68008,C68009,C68010,C68011,C68012,C68013,C68014,C68015,C68016,C68017,C68018,C68019,C68020,C68021,C68022,C68023,C68024,C68025,C68026,C68027,C68028,C68029,C68030,C68031,C68032,C68033,C68034,C68035,C68036,C68037,C68038,C68039,C68040,C68041,C68042,C68043,C68044,C68045,C68046,C68047,C68048,C68049,C68050,C68051,C68052,C69001,C7A001,C7A002,C7B001,C7B002,C7B003,C7B004,C7C001,C7C002,C7C003,C7C004,C7C005,C7C006,C7C007,C7C008,C7C009,C7C010,C7C011,C7C012,C7C013,C7C014,C7C015,C7C016,C7C017,C7C018,C7C019,C7C020,C7D001,C7D002,C7D003,C7D004,C7E001,C7E002,C7E003,C7E004,C7E005,C7E006,C7E007,C7E008,C7E009,C7E010,C7E011,C7E012,C7F001,C7F002,C7F003,C7F004,C7F005,C7F006,C7F007,C7F008,C7F009,C7F010,C7G001,C7G002,C7G003,C7G004,C7G005,C7G006,C7G007,C7G008,C7G009,C7H001,C7H002,C7H003,C7H004,C7H005,C7H006,C7H007,C7I001,C7I002,C7I003,C7I004,C7I005,C7I006,C7I007,C7J001,C7J002,C7K001,C7K002,C7K003,C7K004,C7O001,C7O002,C7O003,C7O004,C7O005,C7O006,C7O007,C7O008,C7O009,C7P001,C7P002,C7P003,C7Q001,C7Q002,C7Q003,C7R001,C7R002,C7S001,C7S002,C7S003,C7S004,C7T001,C7U001,C7U002,C7U003,C7U004,C7V001,C7W001,C7W002,C7X001,C7X002,C7X003,C7X004,C7X005,C7Y001,C7Y002,C7Y003,C7Y004,C7Y005,C7Y006,C7Y007,C7Y008,C7Y009,C7Y010,C7Z001,C70001,C70002,C70003,C71001,C71002,C72001,C72002,C72003,C72004,C72005,C72006,C73001,C74001,C74002,C74003,C74004,C76001,C76002,C76003,C76004,C76005,C76006,C77001,C78001,C79001,C79002,C79003,C79004,C79005,C8A001,C8A002,C8A003,C8A004,C8A005,C8A006,C8B001,C8B002,C8B003,C8B004,C8B005,C8B006,C8B007,C8B008,C8B009,C8B010,C8B011,C8B012,C8C001,C8D001,C8E001,C8F001,C8F002,C8G001,C8G002,C8G003,C8H001,C8H002,C8H003,C8H004,C8H005,C8H006,C8I001,C8I002,C8I003,C8I004,C8I005,C8I006,C8I007,C8I008,C8I009,C8I010,C8I011,C8I012,C8I013,C8J001,C8K001,C8K002,C8L001,C8L002,C8M001,C8M002,C8N001,C8N002,C8N003,C8N004,C8N005,C8N006,C8N007,C8N008,C8N009,C8N010,C8N011,C8N012,C8N013,C8N014,C8O001,C8P001,C8P002,C8Q001,C8Q002,C8R001,C8R002,C8S001,C8S002,C8S003,C8S004,C8T001,C8T002,C8T003,C8T004,C8U001,C8V001,C8V002,C8W001,C8X001,C8X002,C80001,C81001,C81002,C82001,C83001,C84001,C85001,C85002,C85003,C85004,C86001,C87001,C87002,C87003,C87004,C87005,C87006,C87007,C88001,C89001,C89002,C89003,C89004,C89005,C89006,C89007,C89008,C89009
G1100010009901609,11001009901609,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009901,6,609,,A,,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,116,116,0,0,36,42,42,42,0,0,42,42,0,53,63,23,91,0,0,0,0,0,0,2,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,2,3,2,3,2,3,1,1,3,6,3,3,14,18,16,1,5,17,6,1,0,0,2,1,0,1,0,0,2,2,1,2,0,0,2,5,1,1,7,9,6,1,1,8,1,0,0,1,1,0,0,0,2,3,0,1,1,1,1,1,1,1,2,2,7,9,10,0,4,9,5,1,48.3,44.3,52.2,4,14,74,24,,,,,4,11,63,13,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,0,4,1,13,27,2,10,4,36,26,47,1,3,3,0,0,0,3,3,26,3,7,0,0,0,14,2,2,0,0,0,4,14,12,1,2,0,8,5,7,1,1,2,0,0,0,3,17,0,3,14,0,6,11,6,11,0,0,1,0,0,0,0,42,42,0,11,30,0,1,0,,30,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,37,5.6,291,291,0,0,0,0,6,13,13,7,1,2,6,13,13,7,1,2,0,0,0,0,0,0,2.65,2.76,116,116,0,41,1,0,41,1,0,0,0,0,0,0,0,0,0,0,0,2,16,10,7,1,0,80000,3052500,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,42,0,42,0,0,0,42,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,38,4,0,0,0,29,2,0,9,2,19,2,0,10,0,0,4,1,0,2,1,0
G1100010009901610,11001009901610,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009901,6,610,,A,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,130,130,0,0,38,42,43,43,0,0,43,42,1,63,67,17,113,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,4,0,4,4,4,4,0,1,1,6,13,8,10,30,14,2,4,11,4,1,0,0,2,0,0,1,3,0,2,3,3,3,0,1,0,4,6,4,3,13,7,1,0,5,2,0,0,0,1,0,0,1,1,0,2,1,1,1,0,0,1,2,7,4,7,17,7,1,4,6,2,1,45.3,34.4,47.6,3,18,93,16,1,2,10,4,2,16,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,3,0,3,20,25,3,9,7,38,25,61,1,1,3,1,0,0,1,2,25,1,12,0,1,0,13,6,2,0,0,0,3,18,9,0,4,0,7,4,2,0,1,1,1,0,0,1,13,1,1,10,1,3,9,,,,,2,1,0,0,0,42,41,1,4,38,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,3,2,38,5.6,310,,,6,0,0,3,16,12,5,1,5,,,,,,,,,,,,,2.67,3.1,130,,,41,1,0,,,,,,,0,0,0,0,0,0,0,0,19,11,8,0,1,80900,3427500,57500,39,1,0,0,,,,,,,,,,,,,,,,,0,,0,43,0,42,0,1,0,,,,,0,,,9,,,0,9,0,0,0,0,42,1,0,0,0,27,10,6,10,1,9,3,0,9,0,0,4,2,4,0,1,1
G1100010009901611,11001009901611,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009901,6,611,,A,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,0,0,19,23,23,23,0,0,23,23,0,33,39,10,62,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,3,2,1,1,2,0,0,2,2,0,5,9,7,12,5,3,4,5,2,0,0,1,0,0,0,1,0,2,0,1,1,0,0,0,1,0,2,6,5,5,2,1,1,3,1,0,2,0,1,0,0,2,3,0,1,0,1,0,0,2,1,0,3,3,2,7,3,2,3,2,1,0,37.9,38,37.5,4,12,49,7,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,1,0,3,9,16,3,2,1,19,15,27,5,2,2,2,0,0,2,0,15,1,3,0,2,0,9,1,5,1,0,0,4,11,7,0,2,0,3,1,0,1,0,2,0,0,0,0,8,2,0,4,2,1,5,1,5,0,0,6,0,0,0,0,23,23,0,5,18,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,20,5.6,178,178,0,0,0,0,2,9,7,0,2,3,2,9,7,0,2,3,0,0,0,0,0,0,2.57,3.13,72,72,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,2,0,0,81400,1405000,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,23,0,23,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,10,5,0,2,2,0,1,0,6,0,0,2,2,1,0,0,0
G1100010009901612,11001009901612,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009901,6,612,,A,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,0,0,13,18,19,19,0,0,19,18,1,22,30,16,34,0,0,0,0,0,0,0,0,0,0,0,0,2,50,0,0,0,2,2,0,0,0,2,0,0,1,0,0,5,3,0,0,0,1,0,1,1,1,2,2,4,7,7,3,1,1,4,6,2,0,0,1,0,0,3,2,0,0,0,1,0,0,0,0,0,2,3,3,3,0,1,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,2,0,1,4,4,3,0,1,3,4,2,42.1,33.3,50,1,9,30,12,,,,,1,9,21,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3,10,1,0,2,8,10,0,8,1,13,9,21,3,0,5,1,0,0,0,4,9,1,3,0,1,0,9,0,1,0,0,0,1,9,6,0,0,0,6,0,2,0,0,3,1,0,0,2,8,1,2,7,1,1,9,1,9,0,0,2,1,0,0,0,18,18,0,9,9,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,14,5.6,131,123,0,8,0,0,4,6,2,3,0,3,4,6,2,3,0,3,0,0,0,0,0,0,2.33,2.89,52,52,0,17,1,0,17,1,0,0,0,0,0,0,0,0,0,1,0,1,8,3,2,0,1,72500,1345000,95000,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,19,0,18,0,1,0,18,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,18,1,0,0,0,8,1,1,3,2,4,0,0,7,0,0,3,2,0,0,1,0
G1100010009901613,11001009901613,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009901,6,613,,A,,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,4,4,0,0,,2,2,2,0,0,2,2,0,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,,,2,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
G1100010009902106,11001009902106,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009902,1,106,,A,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,63,63,0,0,15,16,16,16,0,0,16,16,0,28,35,2,60,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,2,2,1,1,0,5,5,3,2,2,1,1,1,0,1,2,3,2,7,8,5,2,2,1,4,0,1,0,1,1,0,2,2,1,0,2,0,1,1,0,1,1,1,1,3,3,3,1,0,0,2,0,1,2,0,0,0,3,3,2,2,0,1,0,0,0,0,1,2,1,4,5,2,1,2,1,2,0,29.2,25,32.5,5,19,34,5,,,,,5,19,33,3,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,1,0,6,12,1,4,1,15,12,35,0,1,0,0,0,0,1,0,12,0,3,0,0,0,21,2,1,0,0,0,5,19,5,0,2,0,2,1,2,0,0,0,0,0,0,1,6,0,0,4,0,2,2,,,,,0,0,0,0,0,16,12,4,1,15,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,4,12,5.6,103,,,0,0,0,1,6,1,2,2,4,,,,,,,,,,,,,3.5,3.94,63,,,14,2,0,,,,,,,0,0,0,0,0,0,0,5,4,2,0,0,0,53800,642500,0,11,0,0,0,,,,,,,,,,,,,,,,,0,,0,16,0,16,0,0,0,,,,,0,,,16,,,0,16,0,0,0,0,14,2,0,0,0,6,0,0,0,2,4,0,1,4,0,0,0,0,0,0,2,0
G1100010009902107,11001009902107,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009902,1,107,,A,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,46,46,0,0,11,13,14,14,0,0,14,13,1,19,27,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,4,4,0,4,0,0,0,1,1,0,0,1,1,0,0,0,4,2,1,0,1,5,3,0,6,9,4,2,2,2,1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,2,4,1,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,1,3,3,0,4,5,3,1,0,1,0,0,40,46.3,36.3,2,6,35,3,0,0,0,0,2,6,35,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,5,10,0,1,1,11,9,1,0,4,11,7,25,1,2,0,0,0,0,2,0,7,1,3,0,0,0,2,0,6,0,0,0,2,6,4,0,1,0,0,0,3,0,0,0,0,0,0,1,4,0,0,2,0,2,0,2,0,0,0,1,1,0,0,0,13,13,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,14,5.6,102,96,0,6,0,0,2,2,2,2,4,1,2,2,2,2,4,1,0,0,0,0,0,0,3.75,3.54,46,46,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,65000,580000,57500,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,14,0,13,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,5,7,5,1,6,0,5,6,3,3,0,0,1,1,0,2,1,0
G1100010009902108,11001009902108,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009902,1,108,,A,,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,4,4,0,0,,1,1,1,0,0,1,1,0,,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,0,1,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1100010009902109,11001009902109,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009902,1,109,,A,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,55,55,0,0,18,24,24,24,0,0,24,24,0,27,28,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,0,0,3,3,0,0,0,1,2,1,1,0,2,0,0,1,0,0,1,0,1,0,6,2,4,5,13,4,1,0,10,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,4,0,3,3,4,2,0,0,5,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,2,9,2,1,0,5,0,0,45.4,36.7,48.3,4,4,37,10,0,1,10,7,4,3,27,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,9,11,1,2,1,4,11,0,6,3,18,11,17,3,1,5,0,0,0,1,5,11,4,3,0,0,0,6,1,1,0,0,0,4,4,3,1,1,0,4,2,2,1,0,1,0,0,0,1,6,0,1,5,0,1,5,1,3,0,2,3,0,0,0,0,24,14,10,10,14,0,0,0,5,9,0,0,0,5,5,0,0,0,1,1,0,0,,,,,,,,,0,0,0,0,0,0,1,1,5,10,7,5,123,76,47,0,0,0,6,9,6,2,1,0,1,6,4,2,1,0,5,3,2,0,0,0,2.17,2.29,55,38,17,23,1,0,13,1,0,10,0,0,0,0,1,0,1,0,1,1,8,0,0,0,0,57500,635000,0,12,0,0,0,0,0,0,0,2,2,0,3,1,0,0,0,0,2,165,1337,0,8,0,23,1,23,1,0,0,13,1,10,0,0,0,0,5,5,0,2,5,0,0,0,0,18,6,0,0,1,10,2,0,3,3,7,2,1,6,0,0,0,0,0,3,2,1
G1100010009902113,11001009902113,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009902,1,113,,A,,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,32,32,0,0,9,11,11,11,0,0,11,11,0,16,16,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,1,0,0,0,0,0,0,2,2,4,1,3,0,0,4,7,2,0,1,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,3,5,0,0,45,32.5,58.5,4,3,16,9,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,0,2,6,2,6,0,9,4,17,0,0,2,0,0,0,0,2,4,0,5,0,0,0,1,0,6,0,0,0,4,3,3,0,3,0,4,0,4,0,0,1,0,0,0,2,6,0,1,5,0,1,5,,,,,0,0,0,0,0,11,9,2,2,9,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,1,1,8,5.6,69,,,0,0,0,2,2,3,3,1,0,,,,,,,,,,,,,3,2.91,32,,,11,0,0,,,,,,,0,0,0,0,0,0,0,2,6,0,0,0,0,60000,485000,0,8,0,0,0,,,,,,,,,,,,,,,,,0,,0,11,0,11,0,0,0,,,,,0,,,0,,,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1100010009902114,11001009902114,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009902,1,114,,A,,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,47,47,0,0,14,16,16,16,0,0,16,16,0,24,23,5,42,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,2,1,1,0,1,1,2,1,1,0,4,10,7,2,2,5,2,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,5,6,0,2,3,1,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,1,1,1,0,3,5,1,2,0,2,1,0,49.5,55,43.3,1,8,31,7,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,1,1,3,6,11,1,2,1,14,11,18,1,1,1,1,0,0,1,0,11,2,1,0,1,0,5,0,4,0,0,0,1,8,5,1,0,0,3,2,1,0,1,0,0,0,0,1,5,1,1,4,0,1,4,,,,,2,0,0,0,0,16,14,2,2,14,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,3,11,5.6,103,,,0,0,0,1,6,4,3,2,0,,,,,,,,,,,,,2.75,2.94,47,,,15,1,0,,,,,,,0,0,0,1,0,1,0,0,7,3,0,0,0,67100,793750,0,12,0,0,0,,,,,,,,,,,,,,,,,0,,0,16,0,16,0,0,0,,,,,0,,,4,,,0,4,0,0,0,0,14,2,0,0,0,10,1,1,1,2,6,2,0,6,0,0,1,0,0,0,2,0
G1100010009902117,11001009902117,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009902,1,117,,A,,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,236,236,0,0,58,80,83,83,0,0,83,80,3,115,121,6,230,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,1,2,4,2,3,9,13,3,5,8,3,10,6,3,3,18,15,16,33,38,8,5,7,13,7,1,1,0,3,1,2,3,11,2,2,3,1,6,5,1,1,10,4,7,14,20,3,1,3,7,4,0,0,2,1,1,1,6,2,1,3,5,2,4,1,2,2,8,11,9,19,18,5,4,4,6,3,1,33.1,31.1,34.7,7,46,162,21,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,43,2,3,5,41,38,4,16,8,58,37,112,2,13,9,5,0,0,10,9,37,0,21,3,0,0,26,13,13,1,0,0,6,46,22,0,12,1,9,3,7,0,2,0,0,0,0,3,18,1,1,13,1,4,11,4,6,0,5,5,1,0,0,2,80,57,23,3,77,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,16,15,46,5.6,484,363,104,5,0,12,19,14,23,10,8,6,10,7,18,10,7,5,9,7,5,0,1,1,2.8,2.95,236,185,51,75,5,0,53,4,0,22,1,0,1,0,0,3,0,3,4,4,25,6,1,0,0,60200,2758750,37500,47,1,0,0,0,0,1,0,2,3,3,1,11,2,0,0,0,0,207,4431,0,23,0,81,2,78,2,3,0,56,1,22,1,0,0,0,30,22,8,4,30,0,0,0,0,58,21,4,0,4,38,15,10,10,6,14,12,4,22,1,1,3,2,1,6,9,3
G1100010009902120,11001009902120,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009902,1,120,,A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1100010009902201,11001009902201,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,009902,2,201,,A,,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,59,59,0,0,17,21,21,21,0,0,21,21,0,24,35,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,0,1,0,0,1,2,1,3,6,8,5,11,4,0,1,8,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,4,2,4,2,0,1,2,1,0,0,0,1,0,0,0,2,0,0,1,0,0,1,2,1,2,3,4,3,7,2,0,0,6,0,0,36,35,36.7,2,6,42,9,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,0,0,13,11,3,5,0,17,10,26,1,0,4,1,0,0,0,3,10,1,6,0,1,0,5,0,3,0,0,0,2,6,4,0,2,0,4,2,3,0,0,0,0,0,0,0,7,0,0,6,0,2,4,,,,,2,0,0,0,0,21,20,1,1,20,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,2,5,13,5.6,120,,,0,0,0,3,9,5,1,1,2,,,,,,,,,,,,,2.33,2.81,59,,,18,3,0,,,,,,,0,0,0,1,0,3,2,4,7,0,0,0,0,46300,788750,0,17,0,0,0,,,,,,,,,,,,,,,,,0,,0,21,0,21,0,0,0,,,,,0,,,17,,,0,17,0,0,0,0,19,2,0,0,0,13,0,1,4,0,9,0,0,1,0,0,0,1,0,1,1,0
