GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLOCKA,AREANAME,CBD,CM5001,CM5002,CM6001,CM6002,CM6003,CM6004
"G11000100004104","1970","District Of Columbia","11","District Of Columbia","001","0004","104","Tract    4 Block 104","1",11,7,0,0,0,1
"G11000100004105","1970","District Of Columbia","11","District Of Columbia","001","0004","105","Tract    4 Block 105","1",29,23,0,0,0,0
"G11000100004106","1970","District Of Columbia","11","District Of Columbia","001","0004","106","Tract    4 Block 106","1",21,25,0,1,0,0
"G11000100004108","1970","District Of Columbia","11","District Of Columbia","001","0004","108","Tract    4 Block 108","1",9,4,0,0,0,0
"G11000100004109","1970","District Of Columbia","11","District Of Columbia","001","0004","109","Tract    4 Block 109","1",16,29,0,2,0,0
"G11000100004110","1970","District Of Columbia","11","District Of Columbia","001","0004","110","Tract    4 Block 110","1",27,29,0,0,0,0
"G11000100004112","1970","District Of Columbia","11","District Of Columbia","001","0004","112","Tract    4 Block 112","1",11,15,0,4,1,4
"G11000100004115","1970","District Of Columbia","11","District Of Columbia","001","0004","115","Tract    4 Block 115","1",16,19,0,0,0,0
"G11000100004116","1970","District Of Columbia","11","District Of Columbia","001","0004","116","Tract    4 Block 116","1",30,18,0,0,0,1
"G11000100004117","1970","District Of Columbia","11","District Of Columbia","001","0004","117","Tract    4 Block 117","1",8,18,0,2,0,0
"G11000100004118","1970","District Of Columbia","11","District Of Columbia","001","0004","118","Tract    4 Block 118","1",23,14,0,0,1,0
"G11000100004119","1970","District Of Columbia","11","District Of Columbia","001","0004","119","Tract    4 Block 119","1",27,34,0,2,0,3
"G11000100004120","1970","District Of Columbia","11","District Of Columbia","001","0004","120","Tract    4 Block 120","1",20,25,0,2,0,0
"G11000100004121","1970","District Of Columbia","11","District Of Columbia","001","0004","121","Tract    4 Block 121","1",5,2,0,0,0,0
"G11000100004201","1970","District Of Columbia","11","District Of Columbia","001","0004","201","Tract    4 Block 201","1",14,24,0,0,1,2
"G11000100004202","1970","District Of Columbia","11","District Of Columbia","001","0004","202","Tract    4 Block 202","1",4,6,0,0,0,0
"G11000100004203","1970","District Of Columbia","11","District Of Columbia","001","0004","203","Tract    4 Block 203","1",14,11,0,0,5,3
"G11000100004205","1970","District Of Columbia","11","District Of Columbia","001","0004","205","Tract    4 Block 205","1",3,4,0,0,0,0
"G11000100004206","1970","District Of Columbia","11","District Of Columbia","001","0004","206","Tract    4 Block 206","1",13,25,0,1,1,1
"G11000100004208","1970","District Of Columbia","11","District Of Columbia","001","0004","208","Tract    4 Block 208","1",9,15,0,0,0,0
"G11000100004209","1970","District Of Columbia","11","District Of Columbia","001","0004","209","Tract    4 Block 209","1",-2,2,,,,
"G11000100004210","1970","District Of Columbia","11","District Of Columbia","001","0004","210","Tract    4 Block 210","1",13,22,0,1,0,2
"G11000100004211","1970","District Of Columbia","11","District Of Columbia","001","0004","211","Tract    4 Block 211","1",7,13,0,0,0,1
"G11000100004212","1970","District Of Columbia","11","District Of Columbia","001","0004","212","Tract    4 Block 212","1",50,55,0,5,0,0
"G11000100004213","1970","District Of Columbia","11","District Of Columbia","001","0004","213","Tract    4 Block 213","1",6,10,2,1,0,1
"G11000100004214","1970","District Of Columbia","11","District Of Columbia","001","0004","214","Tract    4 Block 214","1",13,14,0,1,0,0
"G11000100004215","1970","District Of Columbia","11","District Of Columbia","001","0004","215","Tract    4 Block 215","1",12,15,0,2,0,0
"G11000100004216","1970","District Of Columbia","11","District Of Columbia","001","0004","216","Tract    4 Block 216","1",13,23,1,2,2,2
"G11000100004217","1970","District Of Columbia","11","District Of Columbia","001","0004","217","Tract    4 Block 217","1",7,5,0,0,0,0
"G11000100004219","1970","District Of Columbia","11","District Of Columbia","001","0004","219","Tract    4 Block 219","1",9,12,1,1,0,0
"G11000100004221","1970","District Of Columbia","11","District Of Columbia","001","0004","221","Tract    4 Block 221","1",2,4,0,1,0,0
"G11000100005101","1970","District Of Columbia","11","District Of Columbia","001","0005","101","Tract    5 Block 101","1",87,320,0,2,0,0
"G11000100005102","1970","District Of Columbia","11","District Of Columbia","001","0005","102","Tract    5 Block 102","1",147,335,10,4,0,4
"G11000100005103","1970","District Of Columbia","11","District Of Columbia","001","0005","103","Tract    5 Block 103","1",166,303,8,12,11,7
"G11000100005104","1970","District Of Columbia","11","District Of Columbia","001","0005","104","Tract    5 Block 104","1",126,112,1,0,15,12
"G11000100005105","1970","District Of Columbia","11","District Of Columbia","001","0005","105","Tract    5 Block 105","1",82,77,3,4,18,16
"G11000100005106","1970","District Of Columbia","11","District Of Columbia","001","0005","106","Tract    5 Block 106","1",88,162,0,0,1,3
"G11000100005205","1970","District Of Columbia","11","District Of Columbia","001","0005","205","Tract    5 Block 205","1",-2,2,,,,
"G11000100005206","1970","District Of Columbia","11","District Of Columbia","001","0005","206","Tract    5 Block 206","1",5,4,0,0,0,0
"G11000100005208","1970","District Of Columbia","11","District Of Columbia","001","0005","208","Tract    5 Block 208","1",8,12,0,0,0,0
"G11000100005301","1970","District Of Columbia","11","District Of Columbia","001","0005","301","Tract    5 Block 301","1",24,31,0,1,0,2
