name,size,address,address_clean,number_and_street,City,State,zip,link,lat,lon,confidence,confidence_city_level,confidence_street_level,confidence_building_level,manually checked,manually edited
J Coopers Row,312,"1319 South Capitol Street SW
 Washington, DC 20003","1319 South Capitol Street SW, Washington, DC 20003",1319 South Capitol Street SW,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/429/J_Coopers_Row,38.8742441,-77.00975894,1,1,1,1,,
2525 Penn,15,"2525 Pennsylvania Avenue NW
 Washington, DC 20037","2525 Pennsylvania Avenue NW, Washington, DC 20037",2525 Pennsylvania Avenue NW,Washington,District of Columbia,20037,https://dc.urbanturf.com/pipeline/1146/2525_Penn,38.9041477,-77.05393637,1,1,1,1,,
Crawford Landing Townhomes,28,"4900-4910 East Capitol Street NE
 Washington, DC 20019","4900-4910 East Capitol Street NE, Washington, DC 20019",4900-4910 East Capitol Street NE,Washington,District of Columbia,20019,https://dc.urbanturf.com/pipeline/1186/Crawford_Landing_Townhomes,38.89000859,-76.93265076,0.5,1,1,,1,1
The Heritage DC,43,"2027 Rhode Island Ave NE
 Washington, DC 20018","2027 Rhode Island Ave NE, Washington, DC 20018",2027 Rhode Island Ave NE,Washington,District of Columbia,20018,https://dc.urbanturf.com/pipeline/629/The_Heritage_DC,38.92938964,-76.97584352,1,1,1,1,,
Intersect at O Townhomes,5,"1336 8th Street NW
 Washington, DC 20001","1336 8th Street NW, Washington, DC 20001",1336 8th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1139/Intersect_at_O_Townhomes,38.908286,-77.0231336,1,1,1,1,,
Parkside,1500,"Parkside Place NE
 Washington, DC 20019","Parkside Place NE, Washington, DC 20019",Parkside Place NE,Washington,District of Columbia,20019,https://dc.urbanturf.com/pipeline/585/Parkside,38.90000195,-76.94968402,1,1,1,,,
The Villages at Dakota Crossing,413,"3810 Fort Lincoln Drive NE
 Washington, DC 20018","3810 Fort Lincoln Drive NE, Washington, DC 20018",3810 Fort Lincoln Drive NE,Washington,District of Columbia,20018,https://dc.urbanturf.com/pipeline/179/The_Villages_at_Dakota_Crossing,38.92236668,-76.95168751,1,1,1,1,,
Penn and 4th,375,"1345 4th Street NE
 Washington, DC 20002","1345 4th Street NE, Washington, DC 20002",1345 4th Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1058/Penn_and_4th,38.9102205,-76.99786482,1,1,1,1,,
2715 Pennsylvania Avenue NW,7,"2715 Pennsylvania Avenue NW
 Washington, DC 20007","2715 Pennsylvania Avenue NW, Washington, DC 20007",2715 Pennsylvania Avenue NW,Washington,District of Columbia,20007,https://dc.urbanturf.com/pipeline/460/2715_Pennsylvania_Avenue_NW,38.90451176,-77.05610011,1,1,1,1,,
471 H Street NW,46,"471-473 H Street NW
 Washington, DC 20002","471-473 H Street NW, Washington, DC 20002",471-473 H Street NW,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1226/471_H_Street_NW,38.900043,-77.018511,1,1,1,1,,
The Ana Townhomes at Howard Road,20,"1038 Howard Road SE
 Washington, DC 20020","1038 Howard Road SE, Washington, DC 20020",1038 Howard Road SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/1264/The_Ana_Townhomes_at_Howard_Road,38.86271172,-76.99537256,1,1,1,1,,
