name,size,address,address_clean,number_and_street,City,State,zip,link,lat,lon,confidence,confidence_city_level,confidence_street_level,confidence_building_level,manually checked,manually edited
2033 11th Street NW,65,"2033 11th Street NW
 Washington, DC 20001","2033 11th Street NW, Washington, DC 20001",2033 11th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1204/2033_11th_Street_NW,38.917947,-77.026676,1,1,1,1,,
Meridian on First,275,"1000 First Street SE
 Washington, DC 20003","1000 First Street SE, Washington, DC 20003",1000 First Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1012/Meridian_on_First,38.8781391,-77.00557947,1,1,1,1,,
The Lexicon,182,"50 Florida Avenue NE
 Washington, DC 20002","50 Florida Avenue NE, Washington, DC 20002",50 Florida Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/540/The_Lexicon,38.91038,-77.00723,1,1,1,1,,
Bryant Street Development,1650,"680 Rhode Island Avenue NE
 Washington, DC 20002","680 Rhode Island Avenue NE, Washington, DC 20002",680 Rhode Island Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/457/Bryant_Street_Development,38.92120856,-76.99675949,1,1,1,1,,
Coda on Bryant St,150,"600 Rhode Island Ave NE
 Washington, DC 20002","600 Rhode Island Ave NE, Washington, DC 20002",600 Rhode Island Ave NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/915/Coda_on_Bryant_St,38.920831,-76.998774,1,1,1,1,,
Edgewood Commons 635,151,"635 Edgewood Street NE
 Washington, DC 20017","635 Edgewood Street NE, Washington, DC 20017",635 Edgewood Street NE,Washington,District of Columbia,20017,https://dc.urbanturf.com/pipeline/914/Edgewood_Commons_635,38.9234417,-76.99674396,1,1,1,1,,
Fox 5 Headquarters Redevelopment,210,"5151 Wisconsin Avenue NW
 Washington, DC 20016","5151 Wisconsin Avenue NW, Washington, DC 20016",5151 Wisconsin Avenue NW,Washington,District of Columbia,20016,https://dc.urbanturf.com/pipeline/834/Fox_5_Headquarters_Redevelopment,38.956662,-77.083052,1,1,1,1,,
The Fold,30,"1925 Vermont Avenue NW
 Washington, DC 20001","1925 Vermont Avenue NW, Washington, DC 20001",1925 Vermont Avenue NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/401/The_Fold,38.91573563,-77.02616945,1,1,1,1,,
Kennedy on L,74,"37 L Street SE
 Washington, DC 20003","37 L Street SE, Washington, DC 20003",37 L Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/785/Kennedy_on_L,38.877228,-77.00808217,1,1,1,1,,
The Everton,158,"701 Monroe Street NE
 Washington, DC 20017","701 Monroe Street NE, Washington, DC 20017",701 Monroe Street NE,Washington,District of Columbia,20017,https://dc.urbanturf.com/pipeline/913/The_Everton,38.9320297,-76.995147,1,1,1,1,,
Hanover 8th,377,"3201 8th Street NE
 Washington, DC 20017","3201 8th Street NE, Washington, DC 20017",3201 8th Street NE,Washington,District of Columbia,20017,https://dc.urbanturf.com/pipeline/912/Hanover_8th,38.9298013,-76.99460099,1,1,1,1,,
MIRV Mixed Use Development,TBD,"Irving St NE
 Washington, DC 20017","Irving St NE, Washington, DC 20017",Irving St NE,Washington,District of Columbia,20017,https://dc.urbanturf.com/pipeline/911/MIRV_Mixed_Use_Development,38.9287645,-76.98730453,1,1,1,,,
MODO,17,"3701 New Hampshire Avenue NW
 Washington, DC 20010","3701 New Hampshire Avenue NW, Washington, DC 20010",3701 New Hampshire Avenue NW,Washington,District of Columbia,20010,https://dc.urbanturf.com/pipeline/459/MODO,38.9366197,-77.02376978,1,1,1,1,,
The Modern at Art Place,929,"400 Galloway Street NE
 Washington, DC 20011","400 Galloway Street NE, Washington, DC 20011",400 Galloway Street NE,Washington,District of Columbia,20011,https://dc.urbanturf.com/pipeline/324/The_Modern_at_Art_Place,38.95306865,-76.99828546,1,1,1,1,,
Brookland/CUA Metro Development,280,"Monroe Street NE & 10th Street NE
 Washington, DC 20017","Monroe Street NE & 10th Street NE, Washington, DC 20017",Monroe Street NE & 10th Street NE,Washington,District of Columbia,20017,https://dc.urbanturf.com/pipeline/376/BrooklandCUA_Metro_Development,38.932471,-76.993355,0.9,1,0.9,,,
The Martin and the Malcolm,500,"2724 Martin Luther King Jr. Avenue SE
 Washington, DC 20020","2724 Martin Luther King Jr. Avenue SE, Washington, DC 20020",2724 Martin Luther King Jr. Avenue SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/1219/The_Martin_and_the_Malcolm,38.85471047,-76.99592647,1,1,1,1,,
Church Street Microunits,37,"1456-1460 Church Street NW
 Washington, DC 20009","1456-1460 Church Street NW, Washington, DC 20009",1456-1460 Church Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/289/Church_Street_Microunits,38.9102596,-77.0339148,0.9,1,1,0.9,,
375 and 425 M,598,"375-425 M Street SW
 Washington, DC 20024","375-425 M Street SW, Washington, DC 20024",375-425 M Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/741/375_and_425_M,38.87637863,-77.01716181,1,1,1,1,,
The Aspen,133,"1011 4th Street NW
 Washington, DC 20001","1011 4th Street NW, Washington, DC 20001",1011 4th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/627/The_Aspen,38.90274097,-77.01606895,1,1,1,1,,
Ã¢me at Meridian Hill,206,"2601 16th Street NW
 Washington, DC 20009","2601 16th Street NW, Washington, DC 20009",2601 16th Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/524/me_at_Meridian_Hill,38.923373,-77.036384,1,1,1,1,,
Twelve12,250,"1212 4th Street SE
 Washington, DC 20003","1212 4th Street SE, Washington, DC 20003",1212 4th Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/81/Twelve12,38.8762516,-77.00047179,1,1,1,1,,
4401-4435 Benning Road NE,109,"4401-4435 Benning Road NE
 Washington, DC 20019","4401-4435 Benning Road NE, Washington, DC 20019",4401-4435 Benning Road NE,Washington,District of Columbia,20019,https://dc.urbanturf.com/pipeline/1218/44014435_Benning_Road_NE,38.891388,-76.939138,0.9,1,1,0.9,,
Park Morton Phase I,142,"600 Park Road NW
 Washington, DC 20010","600 Park Road NW, Washington, DC 20010",600 Park Road NW,Washington,District of Columbia,20010,https://dc.urbanturf.com/pipeline/616/Park_Morton_Phase_I,38.9328322,-77.02180698,1,1,1,1,,
Rhode Island Row,274,"2300 Washington Place NE
 Washington, DC 20018","2300 Washington Place NE, Washington, DC 20018",2300 Washington Place NE,Washington,District of Columbia,20018,https://dc.urbanturf.com/pipeline/186/Rhode_Island_Row,38.9207348,-76.9945103,1,1,1,1,,
MRP Navy Yard Project,590,"71 Potomac Avenue SE
 Washington, DC 20003","71 Potomac Avenue SE, Washington, DC 20003",71 Potomac Avenue SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1216/MRP_Navy_Yard_Project,38.87149414,-77.00697214,1,1,1,1,,
Dock 79,305,"79 Potomac Avenue SE
 Washington, DC 20003","79 Potomac Avenue SE, Washington, DC 20003",79 Potomac Avenue SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/83/Dock_79,38.8714942,-77.0065788,1,1,1,1,,
360Â° H Street,215,"360 H Street NE
 Washington, DC 20002","360 H Street NE, Washington, DC 20002",360 H Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/63/360_H_Street,38.90042935,-77.0009363,1,1,1,1,,
The Batley,432,"1270 4th Street NE
 Washington, DC 20002","1270 4th Street NE, Washington, DC 20002",1270 4th Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/352/The_Batley,38.9088899,-76.99971712,1,1,1,1,,
The Frequency,100,"4000 Brandywine Street NW
 Washington, DC 20016","4000 Brandywine Street NW, Washington, DC 20016",4000 Brandywine Street NW,Washington,District of Columbia,20016,https://dc.urbanturf.com/pipeline/527/The_Frequency,38.9495084,-77.07934791,1,1,1,1,,
Incanto,148,"770 Maine Avenue SW
 Washington, DC 20024","770 Maine Avenue SW, Washington, DC 20024",770 Maine Avenue SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/710/Incanto,38.87821374,-77.0220462,1,1,1,1,,
Atlantic Plumbing,375,"2112 8th Street NW
 Washington, DC 20001","2112 8th Street NW, Washington, DC 20001",2112 8th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/597/Atlantic_Plumbing,38.91826405,-77.02319111,1,1,1,1,,
Reunion Square,480,"Martin Luther King Jr Avenue SE & Chicago Street S
 Washington, DC 20020","Martin Luther King Jr Avenue SE & Chicago Street S, Washington, DC 20020",Martin Luther King Jr Avenue SE & Chicago Street S,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/478/Reunion_Square,38.86354523,-76.99131258,0.5,1,,,1,1
Barry Farm Redevelopment,"1,000","Firth Sterling Avenue SE & Eaton Road SE
 Washington, DC 20020","Firth Sterling Avenue SE & Eaton Road SE, Washington, DC 20020",Firth Sterling Avenue SE & Eaton Road SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/579/Barry_Farm_Redevelopment,38.86089799,-77.00024859,0.5,1,,,1,1
The Woodley,212,"2700 Woodley Road NW
 Washington, DC 20008","2700 Woodley Road NW, Washington, DC 20008",2700 Woodley Road NW,Washington,District of Columbia,20008,https://dc.urbanturf.com/pipeline/210/The_Woodley,38.92515445,-77.0557091,1,1,1,1,,
Reed Row,132,"2101 Champlain Street NW
 Washington, DC 20009","2101 Champlain Street NW, Washington, DC 20009",2101 Champlain Street NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/673/Reed_Row,38.918198,-77.040099,1,1,1,1,,
1214 Meigs Condominiums,4,"1214 Meigs Place NE
 Washington, DC 20002","1214 Meigs Place NE, Washington, DC 20002",1214 Meigs Place NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1215/1214_Meigs_Condominiums,38.9081926,-76.98547112,1,1,1,1,,
Westminster Presbyterian Church Redevelopment,222,"400 I Street SW
 Washington, DC 20024","400 I Street SW, Washington, DC 20024",400 I Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/903/Westminster_Presbyterian_Church_Redevelopment,38.879203,-77.017705,1,1,1,1,,
The Elliott (DC),5,"3255 Prospect Street NW
 Washington, DC 20007","3255 Prospect Street NW, Washington, DC 20007",3255 Prospect Street NW,Washington,District of Columbia,20007,https://dc.urbanturf.com/pipeline/672/The_Elliott_DC,38.90621975,-77.06477625,1,1,1,1,,
Shops at Georgetown Park Conversions,166,"3270 M Street NW
 Washington, DC 20007","3270 M Street NW, Washington, DC 20007",3270 M Street NW,Washington,District of Columbia,20007,https://dc.urbanturf.com/pipeline/1029/Shops_at_Georgetown_Park_Conversions,38.9047065,-77.0647524,1,1,1,1,,
New CityDC,859,"1923 New York Avenue NE
 Washington, DC 20002","1923 New York Avenue NE, Washington, DC 20002",1923 New York Avenue NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/593/New_CityDC,38.9173427,-76.9752399,1,1,1,1,,
Legacy West End,197,"1255 22nd Street NW
 Washington, DC 20037","1255 22nd Street NW, Washington, DC 20037",1255 22nd Street NW,Washington,District of Columbia,20037,https://dc.urbanturf.com/pipeline/820/Legacy_West_End,38.90665465,-77.04836178,1,1,1,1,,
Eckington Rowhome Development,26,"1708-1710 1st Street NE
 Washington, DC 20002","1708-1710 1st Street NE, Washington, DC 20002",1708-1710 1st Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1212/Eckington_Rowhome_Development,38.91304826,-77.00688349,0.5,1,1,0,1,1
Eliot on 4th,377,"1001 4th Street SE
 Washington, DC 20003","1001 4th Street SE, Washington, DC 20003",1001 4th Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/556/Eliot_on_4th,38.87828,-77.000686,1,1,1,1,,
Chapman Stables,114,"57 N Street NW
 Washington, DC 20001","57 N Street NW, Washington, DC 20001",57 N Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/431/Chapman_Stables,38.907447,-77.011114,1,1,1,1,,
Kiley Apartments,330,"600 4th Street
 Washington, DC 20024","600 4th Street, Washington, DC 20024",600 4th Street,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/446/Kiley_Apartments,38.882063,-77.016494,0.9,1,0.9,0.9,,
3309 12th Street NE,14,"3309 12th Street NE
 Washington, DC 20017","3309 12th Street NE, Washington, DC 20017",3309 12th Street NE,Washington,District of Columbia,20017,https://dc.urbanturf.com/pipeline/1210/3309_12th_Street_NE,38.93093,-76.99062229,1,1,1,1,,
Amaris,96,"601 Wharf Street SW
 Washington, DC 20024","601 Wharf Street SW, Washington, DC 20024",601 Wharf Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1022/Amaris,38.878006,-77.023695,1,1,1,1,,
Disabled American Veterans Building Redevelopment,207,"807 Maine Avenue SW
 Washington, DC 20024","807 Maine Avenue SW, Washington, DC 20024",807 Maine Avenue SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1019/Disabled_American_Veterans_Building_Redevelopment,38.87832568,-77.0221884,1,1,1,1,,
Department of Agriculture Building Redevelopment,498,"899 Maine Avenue SW
 Washington, DC 20024","899 Maine Avenue SW, Washington, DC 20024",899 Maine Avenue SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1018/Department_of_Agriculture_Building_Redevelopment,38.878604,-77.022542,1,1,1,1,,
Avec on H,419,"901 H Street NE
 Washington, DC 20002","901 H Street NE, Washington, DC 20002",901 H Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/792/Avec_on_H,38.89987935,-76.99432364,1,1,1,1,,
Plaza West,223,"1035 4th Street NW
 Washington, DC 20001","1035 4th Street NW, Washington, DC 20001",1035 4th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/489/Plaza_West,38.9036283,-77.0157762,1,1,1,1,,
Skyland Town Center: Final Phase,201,"2704 Marion Barry Avenue SE
 Washington, DC 20020","2704 Marion Barry Avenue SE, Washington, DC 20020",2704 Marion Barry Avenue SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/583/Skyland_Town_Center_Final_Phase,38.86043168,-76.96833968,1,1,1,1,,
Verge,344,"1800 Half Street SW
 Washington, DC 20024","1800 Half Street SW, Washington, DC 20024",1800 Half Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/900/Verge,38.86770105,-77.01028601,1,1,1,1,,
Watermark at Buzzard Point,453,"1900 Half Street SW
 Washington, DC 20024","1900 Half Street SW, Washington, DC 20024",1900 Half Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/537/Watermark_at_Buzzard_Point,38.866625,-77.009932,1,1,1,1,,
Takoma Central,150,"235 Carroll Street NW
 Washington, DC 20012","235 Carroll Street NW, Washington, DC 20012",235 Carroll Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/192/Takoma_Central,38.9750439,-77.0151611,1,1,1,1,,
Entwine Apartments,129,"218 Vine Street NW
 Washington, DC 20012","218 Vine Street NW, Washington, DC 20012",218 Vine Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/708/Entwine_Apartments,38.97369025,-77.01604691,1,1,1,1,,
New Bethany Infill Development,45,"1301 11th Street NW
 Washington, DC 20001","1301 11th Street NW, Washington, DC 20001",1301 11th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1153/New_Bethany_Infill_Development,38.907363,-77.026931,1,1,1,1,,
Camden South Capitol,276,"1345 South Capitol Street SW
 Washington, DC 20003","1345 South Capitol Street SW, Washington, DC 20003",1345 South Capitol Street SW,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/98/Camden_South_Capitol,38.87339075,-77.00947115,1,1,1,1,,
The Hepburn,195,"1901 Connecticut Avenue NW
 Washington, DC 20009","1901 Connecticut Avenue NW, Washington, DC 20009",1901 Connecticut Avenue NW,Washington,District of Columbia,20009,https://dc.urbanturf.com/pipeline/526/The_Hepburn,38.91656488,-77.0467425,1,1,1,1,,
MDL Flats,177,"1530-1550 First Street SW
 Washington, DC 20024","1530-1550 First Street SW, Washington, DC 20024",1530-1550 First Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/714/MDL_Flats,38.87122045,-77.01183513,0.9,1,1,0.9,,
RiverPoint,485,"2100 2nd Street SW
 Washington, DC 20593","2100 2nd Street SW, Washington, DC 20593",2100 2nd Street SW,Washington,District of Columbia,20593,https://dc.urbanturf.com/pipeline/674/RiverPoint,38.863838,-77.013374,1,1,1,1,,
The Heywood,17,"716 L Street SE
 Washington, DC 20003","716 L Street SE, Washington, DC 20003",716 L Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1014/The_Heywood,38.8776855,-76.99561335,1,1,1,1,,
Station U and O,108,"1707 7th Street NW
 Washington, DC 20001","1707 7th Street NW, Washington, DC 20001",1707 7th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/638/Station_U_and_O,38.91283915,-77.02153145,1,1,1,1,,
1322 9th Street NW,40,"1322 9th Street NW
 Washington, DC 20001","1322 9th Street NW, Washington, DC 20001",1322 9th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1117/1322_9th_Street_NW,38.9080241,-77.02442788,1,1,1,1,,
3825 Georgia,32,"3825 Georgia Avenue NW
 Washington, DC 20011","3825 Georgia Avenue NW, Washington, DC 20011",3825 Georgia Avenue NW,Washington,District of Columbia,20011,https://dc.urbanturf.com/pipeline/624/3825_Georgia,38.93794742,-77.0244448,1,1,1,1,,
7th Flats,205,"1825 7th Street NW
 Washington, DC 20001","1825 7th Street NW, Washington, DC 20001",1825 7th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/190/7th_Flats,38.914834,-77.02154729,1,1,1,1,,
Crossing,415,"949 First Street SE
 Washington, DC 20003","949 First Street SE, Washington, DC 20003",949 First Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1011/Crossing,38.87885197,-77.00598592,1,1,1,1,,
Illume,756,"861 New Jersey Ave SE
 Washington, DC 20003","861 New Jersey Ave SE, Washington, DC 20003",861 New Jersey Ave SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1010/Illume,38.87895384,-77.00516561,1,1,1,1,,
Common Bowman,14,"819 6th Street NW
 Washington, DC 20001","819 6th Street NW, Washington, DC 20001",819 6th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/754/Common_Bowman,38.9004928,-77.01963379,1,1,1,1,,
Burnham Place,1300,"First Street NE & G Place NE
 Washington, DC 20002","First Street NE & G Place NE, Washington, DC 20002",First Street NE & G Place NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/92/Burnham_Place,38.89974324,-77.00719979,0,1,,,1,1
DCHA Headquarters Redevelopment,"1,100","1133 North Capitol Street NE
 Washington, DC 20002","1133 North Capitol Street NE, Washington, DC 20002",1133 North Capitol Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/934/DCHA_Headquarters_Redevelopment,38.9051735,-77.00809311,1,1,1,1,,
Firehouse Block Redevelopment,300,"5760 Georgia Avenue NW
 Washington, DC 20012","5760 Georgia Avenue NW, Washington, DC 20012",5760 Georgia Avenue NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/898/Firehouse_Block_Redevelopment,38.95921111,-77.02828228,1,1,1,1,,
Woodcrest Villas,92,"456 Woodcrest Drive SE
 Washington, DC 20032","456 Woodcrest Drive SE, Washington, DC 20032",456 Woodcrest Drive SE,Washington,District of Columbia,20032,https://dc.urbanturf.com/pipeline/415/Woodcrest_Villas,38.83761239,-76.99931,1,1,1,1,,
71 Kennedy Street NW,47,"71 Kennedy Street NW
 Washington, DC 20011","71 Kennedy Street NW, Washington, DC 20011",71 Kennedy Street NW,Washington,District of Columbia,20011,https://dc.urbanturf.com/pipeline/1205/71_Kennedy_Street_NW,38.9567573,-77.0112564,1,1,1,1,,
The Vale,301,"1000 Butternut Street NW
 Washington, DC 20012","1000 Butternut Street NW, Washington, DC 20012",1000 Butternut Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/895/The_Vale,38.973532,-77.027043,1,1,1,1,,
The Hartley,323,"7150 12th Street NW
 Washington, DC 20012","7150 12th Street NW, Washington, DC 20012",7150 12th Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/896/The_Hartley,38.97656545,-77.02834528,1,1,1,1,,
St. Elizabeths East: Parcel 15,300,"1100 Alabama Avenue SE
 Washington, DC 20032","1100 Alabama Avenue SE, Washington, DC 20032",1100 Alabama Avenue SE,Washington,District of Columbia,20032,https://dc.urbanturf.com/pipeline/938/St_Elizabeths_East_Parcel_15,38.8483075,-76.9869176,1,1,1,1,,
Terrace Manor Redevelopment,130,"2270-2276 Savannah Street SE
 Washington, DC 20020","2270-2276 Savannah Street SE, Washington, DC 20020",2270-2276 Savannah Street SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/794/Terrace_Manor_Redevelopment,38.8479339,-76.9719073,0.9,1,1,0.9,,
Quincy Lane,224,"1625 Eckington Place NE
 Washington, DC 20002","1625 Eckington Place NE, Washington, DC 20002",1625 Eckington Place NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/851/Quincy_Lane,38.91202329,-77.00442621,1,1,1,1,,
1331 5th Street NE,647,"1331 5th Street NE
 Washington, DC 20002","1331 5th Street NE, Washington, DC 20002",1331 5th Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1055/1331_5th_Street_NE,38.90989585,-76.99697421,1,1,1,1,,
Gables Union Market,301,"1329 5th Street NE
 Washington, DC 20002","1329 5th Street NE, Washington, DC 20002",1329 5th Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1059/Gables_Union_Market,38.90908687,-76.99764892,1,1,1,1,,
The MO,299,"500 Penn Street NE
 Washington, DC 20002","500 Penn Street NE, Washington, DC 20002",500 Penn Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/715/The_MO,38.910626,-76.997882,1,1,1,1,,
Margarite,260,"340 Morse Street NE
 Washington, DC 20002","340 Morse Street NE, Washington, DC 20002",340 Morse Street NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1057/Margarite,38.90805884,-77.0002149,1,1,1,1,,
Brookland Press,296,"805 Channing Place NE
 Washington, DC 20018","805 Channing Place NE, Washington, DC 20018",805 Channing Place NE,Washington,District of Columbia,20018,https://dc.urbanturf.com/pipeline/396/Brookland_Press,38.9225502,-76.9944927,1,1,1,1,,
2501M,59,"2501 M Street NW
 Washington, DC 20037","2501 M Street NW, Washington, DC 20037",2501 M Street NW,Washington,District of Columbia,20037,https://dc.urbanturf.com/pipeline/530/2501M,38.90548495,-77.05381878,1,1,1,1,,
455 Eye Street Apartments,176,"455 Eye Street NW
 Washington, DC 20001","455 Eye Street NW, Washington, DC 20001",455 Eye Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/178/455_Eye_Street_Apartments,38.9015288,-77.01815899,0.5,1,1,0.007792208,1,1
eNvy,127,"70 N Street SE
 Washington, DC 20003","70 N Street SE, Washington, DC 20003",70 N Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/565/eNvy,38.87471805,-77.00728722,1,1,1,1,,
Yale West,218,"437 New York Avenue NW
 Washington, DC 20001","437 New York Avenue NW, Washington, DC 20001",437 New York Avenue NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/115/Yale_West,38.90501475,-77.01685738,1,1,1,1,,
Takoma Metro Development,435,"327 Cedar Street NW
 Washington, DC 20012","327 Cedar Street NW, Washington, DC 20012",327 Cedar Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/1015/Takoma_Metro_Development,38.9748496,-77.01778782,1,1,1,1,,
300 Carroll Street,159,"300-308 Carroll Street NW
 Washington, DC 20012","300-308 Carroll Street NW, Washington, DC 20012",300-308 Carroll Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/863/300_Carroll_Street,38.9747243,-77.01641429,1,1,1,1,,
6928 Maple,49,"6928 Maple Street NW
 Washington, DC 20012","6928 Maple Street NW, Washington, DC 20012",6928 Maple Street NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/1137/6928_Maple,38.97508671,-77.01482243,1,1,1,1,,
Portals I,446,"1250 Maryland Avenue SW
 Washington, DC 20004","1250 Maryland Avenue SW, Washington, DC 20004",1250 Maryland Avenue SW,Washington,District of Columbia,20004,https://dc.urbanturf.com/pipeline/1060/Portals_I,38.8836948,-77.0294307,1,1,1,1,,
The Westerly,449,"1000 4th Street SW
 Washington, DC 20024","1000 4th Street SW, Washington, DC 20024",1000 4th Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/488/The_Westerly,38.87884029,-77.01745107,1,1,1,1,,
Last Stop Liquor Redevelopment,49,"1307 South Capitol Street SW
 Washington, DC 20024","1307 South Capitol Street SW, Washington, DC 20024",1307 South Capitol Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1047/Last_Stop_Liquor_Redevelopment,38.8743572,-77.00937168,1,1,1,1,,
1331,373,"1331 Maryland Avenue SW
 Washington, DC 20024","1331 Maryland Avenue SW, Washington, DC 20024",1331 Maryland Avenue SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/707/1331,38.88418275,-77.03109083,1,1,1,1,,
Maddox,18,"2905 Georgia Avenue NW
 Washington, DC 20001","2905 Georgia Avenue NW, Washington, DC 20001",2905 Georgia Avenue NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/993/Maddox,38.9275198,-77.02275491,1,1,1,1,,
Meridian at Mount Vernon Triangle,390,"425 L Street NW
 Washington, DC 20001","425 L Street NW, Washington, DC 20001",425 L Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/64/Meridian_at_Mount_Vernon_Triangle,38.9042446,-77.01718359,1,1,1,1,,
City Market at O,435,"800 P Street NW
 Washington, DC 20001","800 P Street NW, Washington, DC 20001",800 P Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/69/City_Market_at_O,38.9092037,-77.023111,1,1,1,1,,
F1RST,325,"1263 First Street SE
 Washington, DC 20003","1263 First Street SE, Washington, DC 20003",1263 First Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/562/F1RST,38.8752186,-77.0062548,1,1,1,1,,
Lex and Leo at Waterfront Station,500,"1150 4th Street SW
 Washington, DC 20024","1150 4th Street SW, Washington, DC 20024",1150 4th Street SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/647/Lex_and_Leo_at_Waterfront_Station,38.87741591,-77.01756526,1,1,1,1,,
Mai Place DC,30,"1400 14th Street NW
 Washington, DC 20005","1400 14th Street NW, Washington, DC 20005",1400 14th Street NW,Washington,District of Columbia,20005,https://dc.urbanturf.com/pipeline/225/Mai_Place_DC,38.908961,-77.032056,1,1,1,1,,
Arris,327,"1331 4th Street SE
 Washington, DC 20003","1331 4th Street SE, Washington, DC 20003",1331 4th Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/422/Arris,38.8747546,-77.0011131,1,1,1,1,,
The Yards: Buildings G1 and G2,671,"125 O Street SE
 Washington, DC 20003","125 O Street SE, Washington, DC 20003",125 O Street SE,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1065/The_Yards_Buildings_G1_and_G2,38.87298805,-77.00417529,1,1,1,1,,
