GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALZKE001,ALZKE002,ALZKE003,AL1LE001,AL1LE002,AL1LE003,AL1LE004,AL1LE005,AL1LE006,AL1LE007,AL1LE008,NAME_M,ALZKM001,ALZKM002,ALZKM003,AL1LM001,AL1LM002,AL1LM003,AL1LM004,AL1LM005,AL1LM006,AL1LM007,AL1LM008
"G11000100083012","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008301","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010083012",,,"Block Group 2, Census Tract 83.01, District of Columbia, District of Columbia",568,470,98,244,189,41,0,41,0,148,55,"Block Group 2, Census Tract 83.01, District of Columbia, District of Columbia",86,81,79,65,67,36,12,36,12,59,36
"G11000100083021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008302","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010083021",,,"Block Group 1, Census Tract 83.02, District of Columbia, District of Columbia",1178,1106,72,608,476,59,6,53,0,417,132,"Block Group 1, Census Tract 83.02, District of Columbia, District of Columbia",28,67,60,88,80,35,10,33,12,78,45
"G11000100084021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008402","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010084021",,,"Block Group 1, Census Tract 84.02, District of Columbia, District of Columbia",568,498,70,260,174,42,7,35,0,132,86,"Block Group 1, Census Tract 84.02, District of Columbia, District of Columbia",87,87,61,62,55,31,11,28,12,45,50
"G11000100084022","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008402","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010084022",,,"Block Group 2, Census Tract 84.02, District of Columbia, District of Columbia",723,664,59,219,172,46,7,39,0,126,47,"Block Group 2, Census Tract 84.02, District of Columbia, District of Columbia",99,80,59,54,53,32,11,31,12,47,42
"G11000100084101","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008410","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010084101",,,"Block Group 1, Census Tract 84.10, District of Columbia, District of Columbia",698,636,62,439,356,28,4,24,0,328,83,"Block Group 1, Census Tract 84.10, District of Columbia, District of Columbia",36,53,45,70,74,19,6,19,12,72,36
"G11000100087011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008701","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010087011",,,"Block Group 1, Census Tract 87.01, District of Columbia, District of Columbia",521,501,20,279,198,37,12,25,0,161,81,"Block Group 1, Census Tract 87.01, District of Columbia, District of Columbia",95,88,33,82,62,27,18,21,12,56,52
"G11000100087012","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008701","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010087012",,,"Block Group 2, Census Tract 87.01, District of Columbia, District of Columbia",536,391,145,240,143,43,0,43,0,100,97,"Block Group 2, Census Tract 87.01, District of Columbia, District of Columbia",102,97,75,75,55,42,12,42,12,35,66
"G11000100087021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008702","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010087021",,,"Block Group 1, Census Tract 87.02, District of Columbia, District of Columbia",681,594,87,219,166,18,6,12,0,148,53,"Block Group 1, Census Tract 87.02, District of Columbia, District of Columbia",91,91,48,60,55,14,10,11,12,53,30
"G11000100087022","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008702","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010087022",,,"Block Group 2, Census Tract 87.02, District of Columbia, District of Columbia",1173,1088,85,182,145,26,6,20,0,119,37,"Block Group 2, Census Tract 87.02, District of Columbia, District of Columbia",95,105,73,58,55,20,9,18,12,53,19
"G11000100088021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008802","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010088021",,,"Block Group 1, Census Tract 88.02, District of Columbia, District of Columbia",335,288,47,103,77,0,0,0,0,77,26,"Block Group 1, Census Tract 88.02, District of Columbia, District of Columbia",85,82,46,57,49,12,12,12,12,49,32
"G11000100088022","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008802","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010088022",,,"Block Group 2, Census Tract 88.02, District of Columbia, District of Columbia",573,554,19,259,223,19,7,12,0,204,36,"Block Group 2, Census Tract 88.02, District of Columbia, District of Columbia",100,104,31,78,74,23,12,19,12,75,29
"G11000100088023","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008802","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010088023",,,"Block Group 3, Census Tract 88.02, District of Columbia, District of Columbia",539,514,25,245,179,33,0,33,0,146,66,"Block Group 3, Census Tract 88.02, District of Columbia, District of Columbia",110,111,30,81,74,31,12,31,12,74,43
"G11000100088024","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008802","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010088024",,,"Block Group 4, Census Tract 88.02, District of Columbia, District of Columbia",568,455,113,180,156,52,34,18,0,104,24,"Block Group 4, Census Tract 88.02, District of Columbia, District of Columbia",110,107,71,72,70,44,38,21,12,57,25
"G11000100088031","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008803","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010088031",,,"Block Group 1, Census Tract 88.03, District of Columbia, District of Columbia",1031,860,171,111,99,4,0,4,0,95,12,"Block Group 1, Census Tract 88.03, District of Columbia, District of Columbia",50,73,66,40,39,7,12,7,12,39,16
"G11000100088041","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"008804","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010088041",,,"Block Group 1, Census Tract 88.04, District of Columbia, District of Columbia",585,527,58,189,144,0,0,0,0,144,45,"Block Group 1, Census Tract 88.04, District of Columbia, District of Columbia",106,115,52,54,57,12,12,12,12,57,33
